english	translation	category	sub_category	source
He looks totally insane!		examine	npc	Melzar the Mad
His job is to keep the ship in tip-top condition.		examine	npc	Cabin Boy Jenkins
A naturalist.		examine	npc	Larry
A Gentoo penguin.		examine	npc	Penguin
It's all black and white to them.		examine	npc	Penguin
It's not easy, not being king.		examine	npc	Pescaling Pax
'Berg bard.		examine	npc	Ping
Killer Gentoo Penguin.		examine	npc	KGP Agent
A Macaroni penguin.		examine	npc	Noodle
An inhabitant of icy regions.		examine	npc	Penguin
A clockwork penguin.		examine	npc	Penguin suit
Instructs agility.		examine	npc	Agility Instructor
An army commander.		examine	npc	Army Commander
A Gentoo penguin, training.		examine	npc	Penguin
Sturdy cold being.		examine	npc	Icelord
I will crush you.		examine	npc	Crusher
An ogre shaman.		examine	npc	Grish
They're done for!		examine	npc	Pilg
An ogre that guards.		examine	npc	Ogre guard
A partially decomposing zombie ogre.		examine	npc	Zogre
It's falling apart!		examine	npc	Skogre
A skeletal ogre.		examine	npc	Skogre
A human zombie.		examine	npc	Zombie
The Grand Secretary of the Wizards' Guild in Yanille.		examine	npc	Zavistic Rarve
A powerful looking Zogre.		examine	npc	Slash Bash
A sick, frail old man.		examine	npc	Sithik Ints
Is it a man or is it a monster?		examine	npc	Sithik Ints
An ogre hunting chompies.		examine	npc	Gargh
A young assistant necromancer.		examine	npc	Irwin Feaselbaum
Bigger than your average moss giant.		examine	npc	Moss Guardian
No longer locked in his own cage.		examine	npc	Golrie
Looks a bit lost.		examine	npc	Father Reen
He looks very pious.		examine	npc	Father Badden
He looks nervous.		examine	npc	Eric
He seems to like wearing black.		examine	npc	Evil Dave
He looks confused.		examine	npc	Matthew
She looks enigmatic.		examine	npc	Jennifer
She looks scary.		examine	npc	Tanya
He looks enthusiastic.		examine	npc	Patrick
A summoned demon.		examine	npc	Agrith Naar
A nasty sand storm.		examine	npc	Sand storm
An animated clay statue.		examine	npc	Clay golem
A local farmer. She may be able to provide some useful information.		examine	npc	Donie
Eek! A ghost!		examine	npc	Restless ghost
Looks very holy.		examine	npc	Father Urhney
It rattles when it walks.		examine	npc	Skeleton
The biggest and baddest troll.		examine	npc	Rock
A big, bad troll.		examine	npc	Stick
A nasty looking troll.		examine	npc	Pee Hat
Human is his speciality.		examine	npc	Dung
Small for a troll but mean, ugly and throws rocks.		examine	npc	Thrower Troll
Small for a troll but mean and ugly.		examine	npc	Mountain troll
The animated spirit of a soul not at rest.		examine	npc	Filliman Tarlock
A spirit of Nature.		examine	npc	Nature Spirit
Arrghhh... A Ghast.		examine	npc	Ghast
A slightly nervous guard.		examine	npc	Ulizius
A rather transparent character.		examine	npc	Klenter
This mummy looks like it means business!		examine	npc	Mummy
An irate warrior-mummy.		examine	npc	Mummy
An irate mummy.		examine	npc	Mummy
A wizened old warrior.		examine	npc	Mummy
What's he mumbling about?		examine	npc	Weird Old Man
A fiery little pup!		examine	npc	Hellpuppy
She's dressed in a red top and green trousers.		examine	npc	Anna
He's dressed all in green.		examine	npc	David
A horror from the ocean depths...		examine	npc	Dagannoth
A senior member of the Myreque.		examine	npc	Veliaf Hurtz
Former adviser to the Duke of Lumbridge.		examine	npc	Sigmund
A guard for the 'Humans Against Monsters' group.		examine	npc	Guard
What has he got under his coat?		examine	npc	Nardok
He's standing guard.		examine	npc	Dartog
A friendly feline?		examine	npc	Gertrude's cat
Very well to do. I wonder what he's doing here.		examine	npc	Gamer
He has a tortured look in his eye.		examine	npc	Gamer
Definitely overworked.		examine	npc	Barman
Rich.		examine	npc	Gamer
Poor.		examine	npc	Gamer
A popular dwarven delicacy.		examine	npc	Rat
A fun guy. No wait, that's awful..		examine	npc	Zygomite
A crazy evil necromancer.		examine	npc	Necromancer
A wilderness outlaw.		examine	npc	Bandit
Bandit Camp guard.		examine	npc	Guard Bandit
Not very civilised looking.		examine	npc	Barbarian guard
Looks like they're sleepwalking.		examine	npc	Sleepwalker
Snake! Snaaaaake!		examine	npc	Snake
It's all white by me.		examine	npc	Albino bat
Clearly not a hermit.		examine	npc	Crab
A flying blood sucker.		examine	npc	Giant mosquito
A horrible, emaciated ape like creature with beady red eyes.		examine	npc	Jungle horror
A horrible, emaciated ape like creature with beady yellow eyes.		examine	npc	Jungle horror
A horrible, emaciated ape like creature with beady green eyes.		examine	npc	Jungle horror
A horrible, emaciated ape like creature with beady blue eyes.		examine	npc	Jungle horror
A horrible, emaciated ape like creature with beady pink eyes.		examine	npc	Jungle horror
A pirate of Mos Le'Harmless.		examine	npc	Cavey Davey
A dodgy guy with a sack. Doesn't say much.		examine	npc	Mac
She looks tired of waiting.		examine	npc	Launa
She looks tired of arguing.		examine	npc	Launa
An old man.		examine	npc	Brana
Where did his boot go?		examine	npc	Tolna
A kid.		examine	npc	Tolna
He looks a little on the cross side!		examine	npc	Angry bear
AHHHHH!		examine	npc	Fear reaper
What on Gielinor is that?!?		examine	npc	Confusion beast
A hopeless poor creature.		examine	npc	Hopeless creature
Is that really Tolna?		examine	npc	Tolna
The barmaid of the Esoterican Arms.		examine	npc	Runa
She owns the clothes shop.		examine	npc	Halla
Runs the general store.		examine	npc	Finn
If it's edible, he'll sell it.		examine	npc	Osvald
A subject of Miscellania.		examine	npc	Runolf
A Fremennik teenager.		examine	npc	Signy
A dwarf who's currently living in Miscellania.		examine	npc	Alviss
A dwarf miner. He's digging holes in the walls.		examine	npc	Thorodin
A dwarf miner. He's shoring up the walls.		examine	npc	Ferd
A rather scared-looking dwarf. He doesn't seem all that drunk.		examine	npc	Donal
Snake, snake, oh, it's a young snake...		examine	npc	Sea Snake Young
A baby sea snake. Snaaaaaaake!		examine	npc	Sea Snake Hatchling
He's guarding the entrance to the dungeons.		examine	npc	Guard
A big snake that lives in the sea. How did it get in here?		examine	npc	Giant Sea Snake
A healer from Ardougne.		examine	npc	Elena
He has a colourful personality.		examine	npc	Da Vinci
He's ready for a bet.		examine	npc	Chancy
He's drunk.		examine	npc	Hops
She looks rather concerned.		examine	npc	Julie
He's not that ill.		examine	npc	Guidor
One of Gielinor's many citizens.		examine	npc	Man
A master of dream-manipulation.		examine	npc	Dominic Onion
A vampyre warrior of Zamorak.		examine	npc	Dessous (hard)
Ice warrior.		examine	npc	Kamil (hard)
A holy man.		examine	npc	Priest
A military man.		examine	npc	Paladin
He looks friendly enough.		examine	npc	Jerico
Smells very chemically...		examine	npc	Chemist
She's quite a looker!		examine	npc	Nurse Sarah
Big, ugly, and smelly.		examine	npc	Ogre
Time to run away...		examine	npc	Shark
She looks quite experienced.		examine	npc	Archer
He looks big and dumb.		examine	npc	Warrior
He looks holy.		examine	npc	Monk
He looks kind of puny...		examine	npc	Wizard
Looks otherworldy...		examine	npc	Fairy Queen
A funny little man who lives in a tree.		examine	npc	Shamus
Guardian of the dramen tree.		examine	npc	Tree spirit
Unsurprisingly monk like.		examine	npc	Cave monk
Holy looking.		examine	npc	Monk of Entrana
An unusually aggressive cleric.		examine	npc	Monk
Yep. Definitely a chicken.		examine	npc	Chicken
He rules the, er, roost.		examine	npc	Rooster
How cute!		examine	npc	Li'l lamb
The black sheep of the family.		examine	npc	Lamb
Freshly sheared.		examine	npc	Sheep
Who could this be?		examine	npc	? ? ? ?
The Carnillean family chef.		examine	npc	Claus the Chef
The newest member of the Carnillean family.		examine	npc	Philipe Carnillean
A woman of nobility.		examine	npc	Henryeta Carnillean
A being brought back from the edge of death.		examine	npc	Hazeel
A member of the Hazeel Cult.		examine	npc	Hazeel Cultist
One of General Khazard's guards.		examine	npc	Khazard Guard
He's in charge of General Khazard's guards.		examine	npc	Head Guard
Looks like he's off-duty.		examine	npc	Khazard Guard
A tough-looking barman.		examine	npc	Khazard Barman
He looks mistreated and weak.		examine	npc	Kelvin
A scruffy looking chap.		examine	npc	Spectator
Postie Pete's worst nightmare.		examine	npc	Bouncer
Khazard's strongest ogre warrior.		examine	npc	Khazard Ogre
A large angry scorpion.		examine	npc	Khazard Scorpion
It is the avatar of the Arzinian Being of Bordanzan, representing strength.		examine	npc	Arzinian Avatar of Strength
It is the avatar of the Arzinian Being of Bordanzan, representing ranging.		examine	npc	Arzinian Avatar of Ranging
It is the avatar of the Arzinian Being of Bordanzan, representing magic.		examine	npc	Arzinian Avatar of Magic
It's the Arzinian Being, whatever that is, that comes from Bordanzan, wherever that is.		examine	npc	Arzinian Being of Bordanzan
All you see is a glimmer of light and the suggestion of shadow.		examine	npc	Saboteur
Sells gnomish things.		examine	npc	Gnome shop keeper
Ahhh. Isn't it cute?		examine	npc	Cute Creature
What is that thing!		examine	npc	Evil Creature
A small fluffy inhabitant of the Grand Tree.		examine	npc	fluffie
A spy of Glouphrie.		examine	npc	fluffie
That's a lot of bones on his back...		examine	npc	Odd Old Man
Looks like he could do with a sip of amontillado.		examine	npc	Fortunato
White and fluffy.		examine	npc	Ram
White and shaggy.		examine	npc	Ram
Bony.		examine	npc	Bones
If you see them circling: run.		examine	npc	Vulture
Dr Fenkenstrain I presume.		examine	npc	Dr Fenkenstrain
A hideous mix of human flesh.		examine	npc	Fenkenstrain's Monster
It looks like he has got his castle back at last.		examine	npc	Lord Rologarth
He must find gardening difficult since the accident.		examine	npc	Gardener Ghost
It has a key hanging from its collar.		examine	npc	Experiment
One of Fenkenstrain's failed experiments.		examine	npc	Experiment
A shadowy sort of entity, kind of creepy looking.		examine	npc	Loar Shadow
The shadowy remains of a long departed soul.		examine	npc	Loar Shade
A spirit rising towards eternal peace.		examine	npc	Shade Spirit
A local villager of Mort'ton.		examine	npc	Afflicted(Ulsquire)
Anyone fancy a trim?		examine	npc	Hairdresser
Master of the mystical makeover.		examine	npc	Makeover Mage
I could get a beer from him.		examine	npc	Bartender
Works in the Rising Sun.		examine	npc	Emily
A dandy canoe man.		examine	npc	Tarquin
His furs look very damp.		examine	npc	Sigurd
Strange looking fella.		examine	npc	Hari
Looks a little green around the gills.		examine	npc	Barfy Bill
A salty seafarer. Needs a wash.		examine	npc	Jack Seagull
A strange man with a strange name. Probably a strange past, too.		examine	npc	Longbow Ben
So what can one do with a drunken sailor?		examine	npc	Ahab
A messy bird.		examine	npc	Seagull
Smells of rotten fish.		examine	npc	Seagull
He's wearing a single glove; how strange.		examine	npc	Matthias
It looks like it has caught something.		examine	npc	Gyr Falcon
A trained hunting bird.		examine	npc	Gyr Falcon
Curls up into a ball to protect itself from attack.		examine	npc	Prickly kebbit
Now that's a big overbite.		examine	npc	Sabre-toothed kebbit
It uses its tail to hunt and skewer fish.		examine	npc	Barb-tailed kebbit
That's a mean looking set of claws.		examine	npc	Wild kebbit
He looks like he knows what he's doing.		examine	npc	Artimeus
A large, well built farmer.		examine	npc	Seth Groats
A hard-working potter.		examine	npc	Tassie Slipcast
He looks quite independent in an aggressive and business like way.		examine	npc	Hammerspike Stoutbeard
A short stout menacing fellow.		examine	npc	Dwarf gang member
A slightly more eccentric seer.		examine	npc	Phantuwti Fanstuwi Farsight
He seems quietly enthusiastic about his profession.		examine	npc	Tindel Marchant
An energetic female adventuress.		examine	npc	Petra Fiyed
A young man with a dark and mysterious past.		examine	npc	Jimmy the Chisel
This monster totally rocks!		examine	npc	Slagilith
A pile of boulders.		examine	npc	Rock pile
A fire elemental.		examine	npc	Fire elemental
An earth elemental.		examine	npc	Earth elemental
An elemental rock.		examine	npc	Elemental rock
An air elemental.		examine	npc	Air elemental
A water elemental.		examine	npc	Water elemental
He seems to be guarding a pile of rocks. Interesting job.		examine	npc	Guard
He seems to be guarding a single rock. Interesting job.		examine	npc	Guard
The Chieftain of the mountain camp.		examine	npc	Hamal the Chieftain
He looks a little lost, himself.		examine	npc	Ragnar
Is he walking around in circles?		examine	npc	Svidi
He seems to be minding the goats.		examine	npc	Jokul
Is that a bear... or a man?		examine	npc	The Kendal
One of the inhabitants of the camp.		examine	npc	Camp dweller
Looks a little underfed.		examine	npc	Mountain Goat
This goat belongs to the mountain camp people.		examine	npc	Mountain Goat
A big birdy.		examine	npc	Bald Headed Eagle
Looks after the Burthorpe vinery.		examine	npc	Bernald
Queen Ellamaria of Varrock.		examine	npc	Queen Ellamaria
This statue of Saradomin has been 'borrowed' for a while.		examine	npc	Trolley
This statue of a king has been 'borrowed' for a while.		examine	npc	Trolley
An empty trolley.		examine	npc	Trolley
Somebody should have warned him when he signed up.		examine	npc	Billy, a guard of Falador
Shame his pension's going to waste.		examine	npc	Bob, another guard of Falador
A master of the wilderness.		examine	npc	PKMaster0036
Varrock's resident monarch.		examine	npc	King Roald
The Dwarven armoury engineer.		examine	npc	Nulodion
A dwarven worker.		examine	npc	Dwarf
A member of the Black Guard, a special division of the dwarven army.		examine	npc	Black Guard
He looks busy.		examine	npc	Engineering assistant
He's wandering around aimlessly with a box of spare parts.		examine	npc	Engineering assistant
He's building a cannon.		examine	npc	Engineer
Bushy tail!		examine	npc	Squirrel
Likes nuts.		examine	npc	Squirrel
Shave the tail, and you've got a rat.		examine	npc	Squirrel
A raccoon.		examine	npc	Raccoon
An ancient-looking gnome.		examine	npc	Hazelmere
A rough looking gnome.		examine	npc	Glough
Poor guy, he looks frightened.		examine	npc	Charlie
The boss!		examine	npc	Foreman
Builds ships for a living.		examine	npc	Shipyard worker
A gnome trader.		examine	npc	Femi
A tree gnome guard.		examine	npc	Gnome guard
A large and weathered looking Gnome veteran.		examine	npc	Garkor
A seasoned looking Gnome foot soldier.		examine	npc	Lumo
A Gnome soldier.		examine	npc	Bunkwicket
A wizened little Gnome dressed in brightly coloured clothes.		examine	npc	Zooknock
A Greater Jungle Demon. A magical aura emanates from its hide.		examine	npc	Jungle Demon
Daero gives off an easy sense of authority.		examine	npc	Daero
Waydar is some kind of flight officer.		examine	npc	Waydar
Known for his light-fingered qualities.		examine	npc	Thief
An official looking Gnome with small beady eyes.		examine	npc	G.L.O. Caranock
He doesn't look so happy now he's in jail.		examine	npc	Mugger
It's a monkey.		examine	npc	Small ninja monkey
It's a gorilla.		examine	npc	Gorilla
This must be Rantz's daughter.		examine	npc	Fycie
This must be Rantz's son.		examine	npc	Bugs
A green skinned croaker, loves the swamp.		examine	npc	Swamp toad
A green skinned croaker.		examine	npc	Bloated Toad
A large boisterous bird, a delicacy for ogres.		examine	npc	Chompy bird
A once boisterous bird, closer to being an ogre delicacy.		examine	npc	Chompy bird
Buys wholesale, sells retail.		examine	npc	Eudav
An elven seamstress.		examine	npc	Oronwen
He can look after my money.		examine	npc	Banker
She can look after my money.		examine	npc	Banker
Buys and sells bows.		examine	npc	Dalldav
Looks like he knows his way around a kitchen.		examine	npc	Gethin
He looks a bit worse for wear, but he seems cheerful enough.		examine	npc	Nickolaus
He looks like an eagle with no fashion sense.		examine	npc	Nickolaus
A very large, very dangerous, very sandy-looking birdy.		examine	npc	Desert eagle
A very large, very dangerous, very cold-looking birdy.		examine	npc	Polar eagle
It seems to be protecting the nest.		examine	npc	Eagle
A little bigger than usual...		examine	npc	Kebbit
One of the zookeepers; enjoys locking up animals in small pens.		examine	npc	Charlie
Now, who put that there? It's too suspicious and round to be natural.		examine	npc	Boulder
He acts as if he owns the place.		examine	npc	Aleck
He seems to be making odd sucking noises with his teeth.		examine	npc	Leon
He must be good at hunting; even his hair blends in with the surroundings.		examine	npc	Hunting expert
With all the furs, I almost mistook her for a wild animal.		examine	npc	Hunting expert
Wild.		examine	npc	Ferret
An opponent from the grave. He seems unimpressed by your bone rummaging.		examine	npc	Skeleton hero
An ex-barbarian, willing to make you ex too.		examine	npc	Skeleton brute
He's heartless.		examine	npc	Skeleton warlord
He's less heavy now.		examine	npc	Skeleton heavy
Floats like an anvil, hits like a hammer.		examine	npc	Skeleton thug
He's guarding the prison.		examine	npc	Guard
A prison guard.		examine	npc	Guard
He's asleep.		examine	npc	Guard
Keeping an eye out for suspicious activity.		examine	npc	Guard
The Shipyard Manager.		examine	npc	Luke
Caution: HOT!		examine	npc	Fire wizard
Hydro-power!		examine	npc	Water wizard
His hands are covered in mud. At least, I hope that's mud.		examine	npc	Earth wizard
At least he looks solid enough to fight.		examine	npc	Air wizard
He smells of rock dust.		examine	npc	Ordan
He buys stuff.		examine	npc	Jorzik
Small lonely child.		examine	npc	Smiddi Ryak (hard)
Old lonely man.		examine	npc	Rolayne Twickit (hard)
A Burgh de Rott female militia volunteer.		examine	npc	Jayene Kliyn (medium)
A Burgh de Rott male militia volunteer.		examine	npc	Valantay Eppel (medium)
A retired but dangerous looking man. He seems to be hanging around.		examine	npc	Dalcian Fang (easy)
A retired but dangerous looking female soldier.		examine	npc	Fyiona Fray (easy)
The good samaritan.		examine	npc	Abidor Crank
A human returned from vampyric form.		examine	npc	Benjamin
A basic trained mercenary archer.		examine	npc	Forester (hard)
A basic trained mercenary fighter.		examine	npc	Woman-at-arms (hard)
A moderately experienced mercenary mage.		examine	npc	Apprentice (medium)
A moderately experienced mercenary archer.		examine	npc	Ranger (medium)
An extensively experienced fighter.		examine	npc	Adventurer (easy)
An extensively experienced mage.		examine	npc	Mage (easy)
A local holy man who works at Paterdomus.		examine	npc	Hiylik Myna
Dummy		examine	npc	Dummy
He must get lonely out here.		examine	npc	Gundai
He sells runes.		examine	npc	Lundail
He hasn't seen much sun lately.		examine	npc	Chamber guardian
He runs the mage arena.		examine	npc	Kolodion
He's a shape-shifter.		examine	npc	Kolodion
He kills in the name of Zamorak.		examine	npc	Battle mage
He kills in the name of Saradomin.		examine	npc	Battle mage
He kills in the name of Guthix.		examine	npc	Battle mage
A banknote exchange merchant.		examine	npc	Phials
The tribe leader.		examine	npc	High Priestess Zul-Harcinqa
She offers sacrifices to Zulrah on behalf of the tribe.		examine	npc	Priestess Zul-Gwenwynig
Good with money.		examine	npc	Banker
A fully grown feline.		examine	npc	Cat
A hellish pet cat!		examine	npc	Hellcat
A friendly not so little pet.		examine	npc	Lazy cat
A hellish not-so-little pet.		examine	npc	Lazy hellcat
An impling baby. Aaah...		examine	npc	Baby impling
A young impling. It's not fair!		examine	npc	Young impling
An impling gourmet. Mmmm, tasty.		examine	npc	Gourmet impling
An earth impling. Rock on.		examine	npc	Earth impling
An impling who likes magic. Magic!		examine	npc	Essence impling
An impling with varied tastes.		examine	npc	Eclectic impling
A nature impling. Right on, maaan.		examine	npc	Nature impling
Ooh, shiny things!		examine	npc	Magpie impling
A very stealthy impling.		examine	npc	Ninja impling
An impling who likes the word 'dragon'.		examine	npc	Dragon impling
An impling baby. Aaah.		examine	npc	Baby impling
An egg launcher.		examine	npc	Egg launcher
A slightly more approachable barbarian.		examine	npc	Commander Connad
He looks pretty mean.		examine	npc	Captain Cain
A stressed out barbarian private.		examine	npc	Private Paldo
A barbarian private.		examine	npc	Private Pendron
A barbarian army teacher.		examine	npc	Major Attack
He's keeping a close eye on that nearby door.		examine	npc	Sergeant Sambur
What on Gielinor is that?		examine	npc	Penance Fighter
Shooty-shooty.		examine	npc	Penance Ranger
He's making a run for it!		examine	npc	Penance Runner
A nasty piece of work.		examine	npc	Penance Healer
Wonder how long he's been here...		examine	npc	Strange Old Man
A vengeful spirit corrupted by dark magic.		examine	npc	Ahrim the Blighted
I think I should keep my distance...		examine	npc	Bloodworm
A nasty little rodent.		examine	npc	Crypt rat
A nasty overgrown rodent.		examine	npc	Giant crypt rat
Incey wincey.		examine	npc	Crypt spider
Not very incey wincey.		examine	npc	Giant crypt spider
Don't burst its bubble!		examine	npc	Splatter
Nippy little thing!		examine	npc	Shifter
Worse than termites!		examine	npc	Ravager
Eeewww!		examine	npc	Spinner
Burn baby, burn!		examine	npc	Torcher
Duck!		examine	npc	Defiler
Mind your toes!		examine	npc	Brawler
Not somewhere I want to go...		examine	npc	Portal
The Void Knight will soon weaken the shield.		examine	npc	Portal
A powerful knight of balance.		examine	npc	Void Knight
A squire of balance.		examine	npc	Squire
Uri Molotov - shaken, not stirred.		examine	npc	Uri
He's playing both sides!		examine	npc	Double agent
Who's your mummy?		examine	npc	Guardian mummy
Somehow he's managing to look angry.		examine	npc	Annoyed guardian mummy
That's a strange hat for a local.		examine	npc	Tarik
I think they're some kind of beetle.		examine	npc	Scarab Swarm
A master of necromancy!		examine	npc	Malignius Mortifer
Rattle dem bones.		examine	npc	Skeleton
WoooOOOOoooo!		examine	npc	Ghost
Dead, but still powerful.		examine	npc	Skeleton mage
She seems like a nice sort of person.		examine	npc	Betty
Loves his gold!		examine	npc	Grum
An expert on fishing.		examine	npc	Gerrant
Likes his food to be kept fresh.		examine	npc	Wydin
They'll eat anything!		examine	npc	Goat
Shiny armour!		examine	npc	White Knight
A White Knight proselyte.		examine	npc	White Knight
A White Knight acolyte.		examine	npc	White Knight
A summer elemental.		examine	npc	Summer Elemental
Antisocial.		examine	npc	Sorceress
Come, old broomstick, you are needed.		examine	npc	Apprentice
He looks a little shifty.		examine	npc	Osman
Loves living in an orchard.		examine	npc	Del-Monty
A pirate from the lands to the east.		examine	npc	San Fan
A very flamboyant pirate.		examine	npc	Fancy Dan
I can't wait to buy from a guy with Honest in his name...		examine	npc	Honest Jimmy
Perhaps arr oldest piratical relatives?		examine	npc	Monkey
A swarm of vicious sweetflies!		examine	npc	Swarm
A native monkey.		examine	npc	Blue Monkey
A colourful bird.		examine	npc	Parrot
A White Knight partisan.		examine	npc	White Knight
Let's not go skinny dipping eh?		examine	npc	Shark
A graceful bird.		examine	npc	Swan
A rare bird.		examine	npc	Black swan
I guess he sells what he steals...?		examine	npc	Bandit shopkeeper
Gorak by name, Gorak by nature.		examine	npc	Gorak
A highly enlightened being.		examine	npc	Cosmic Being
Quackers.		examine	npc	Duck
She quackers.		examine	npc	Duck
I'm gonna make him an offer he can't refuse.		examine	npc	Fairy Godfather
A healing fairy.		examine	npc	Fairy Nuff
Looks otherworldy.		examine	npc	Fairy Queen
Horseplay.		examine	npc	Centaur
Half horse, half woman.		examine	npc	Centaur
A noble creature!		examine	npc	Stag
Twiggy.		examine	npc	Wood Dryad
No question is so difficult to answer as that to which the answer is obvious.		examine	npc	Fairy Very Wise
A head-banger.		examine	npc	Fairy
If she wasn't flying she'd have a limp.		examine	npc	Fairy
That arm looks sore.		examine	npc	Fairy
It's just a flesh wound.		examine	npc	Fairy
Aww, how cute.		examine	npc	Rabbit
A small, green shoot.		examine	npc	Starflower
It doesn't look that rare.		examine	npc	Starflower
A very angry nymph.		examine	npc	Tree spirit
Leader of the White Knights.		examine	npc	Sir Amik Varze
A fowl beast.		examine	npc	Evil Chicken
Could this be one of the Elder dragons?		examine	npc	K'klik
An ice troll youngling.		examine	npc	Ice troll runt
A male troll wielding a large club.		examine	npc	Ice troll male
An ice troll with a bag of rocks.		examine	npc	Ice troll female
A large ice troll.		examine	npc	Ice troll grunt
Neitiznot's Burgher.		examine	npc	Mawnis Burowgar
Commander of Neitiznot's guards.		examine	npc	Fridleif Shieldson
A young master craftsman.		examine	npc	Thakkrad Sigmundson
Ferry-mistress.		examine	npc	Maria Gunnars
Mistress of the stores.		examine	npc	Jofridr Mordstatter
A yak handler's brother.		examine	npc	Morten Holdstrom
A yak handler.		examine	npc	Gunnar Holdstrom
A farmhand.		examine	npc	Anne Isaakson
The Burgher's protectors.		examine	npc	Honour guard
One of your militia.		examine	npc	Honour guard
Guards the Burgher's room.		examine	npc	Kjedelig Uppsen
A man in a jester's costume.		examine	npc	Slug Hemligssen
Has an odd smell about him.		examine	npc	Candle seller
An ill-tempered king.		examine	npc	King Gjuki Sorvott IV
A regal cat with an evil glint in his eye.		examine	npc	HRH Hrafn
Jatizso's Chancellor.		examine	npc	Thorkel Silkbeard
A humble ferryman.		examine	npc	Mord Gunnars
Jacques Netis - a slightly pompous art expert.		examine	npc	Art Critic Jacques
Seth Minas - an aged expert in Gielinor history.		examine	npc	Historian Minas
An archaeologist hard at work.		examine	npc	Barnabus Hurma
A lady with lots of information about the Museum.		examine	npc	Information clerk
This man guards the entrance to the Museum's cleaning area.		examine	npc	Museum guard
This man guards the workman's gate.		examine	npc	Museum guard
This man guards the workman's entrance.		examine	npc	Museum guard
A teacher and one of his pupils.		examine	npc	Teacher and pupil
She looks happy.		examine	npc	Schoolgirl
With a hop and a skip.		examine	npc	Schoolgirl
Delightfully cheerful.		examine	npc	Schoolgirl
Looks intent on learning.		examine	npc	Schoolgirl
Ahh, the youth of today.		examine	npc	Schoolgirl
Looks kind of familiar.		examine	npc	Schoolboy
Cheeky little chappy.		examine	npc	Schoolboy
Cute pigtails.		examine	npc	Schoolgirl
A teacher and one of her pupils.		examine	npc	Teacher and pupil
A cheeky little chappy.		examine	npc	Schoolboy
A schoolteacher.		examine	npc	Teacher
A schoolgirl.		examine	npc	Schoolgirl
Looks hard at work.		examine	npc	Workman
Could there be something exciting in his wheelbarrow?		examine	npc	Workman
A workman with an empty wheelbarrow.		examine	npc	Workman
What's in his wheelbarrow.		examine	npc	Workman
Wheelbarrow loader.		examine	npc	Dig Site workman
Working hard.		examine	npc	Barge workman
Likes the straight and narrow.		examine	npc	Ed Wood
Harder than the rock he sells.		examine	npc	Hring Hring
Jatizso's fishmonger.		examine	npc	Flosi Dalksson
A guy that will sell you armour.		examine	npc	Raum Urda-Stein
Jatizso's armour merchant.		examine	npc	Skuli Myrka
A rough-looking chef.		examine	npc	Keepa Kettilon
A guard on insult duty.		examine	npc	Guard
Stands around and insults stuff all day.		examine	npc	Guard
One of King Sorvott's militia.		examine	npc	Guard
One of Jatizso's many citizens.		examine	npc	Freygerd
A happy, friendly landlady.		examine	npc	Vanligga Gastfrihet
A miner at work.		examine	npc	Miner
A bedraggled-looking tramp.		examine	npc	Eric
Mina guards the mine entrance.		examine	npc	Gruva Patrull
A dwarven trader from Keldagrim.		examine	npc	Brendt
Mini quackers.		examine	npc	Duckling
Aww, cute.		examine	npc	Ducklings
Waddle waddle waddle quack.		examine	npc	Duck
It quacks like a duck.		examine	npc	Drake
Lesser, but still pretty big.		examine	npc	Lesser demon
Big, red, and incredibly evil.		examine	npc	Greater demon
Big, purple, and incredibly evil.		examine	npc	Greater demon
Keeps order in the tribe's territory.		examine	npc	Zul-Urgish
A worshipper of Zulrah.		examine	npc	Zul-Cheray
He has volunteered to be a sacrifice to Zulrah.		examine	npc	Sacrifice
The tribe's eel-catcher.		examine	npc	Zul-Onan
He served King Tyras before he found a new master.		examine	npc	Zul-Aniel
He's set up a telescope pointing deep into the swamp.		examine	npc	Broken Handz
The green hooded serpent of the poison waste.		examine	npc	Zulrah
The crimson hooded serpent of the poison waste.		examine	npc	Zulrah
The turquoise hooded serpent of the poison waste.		examine	npc	Zulrah
Spawn of Zulrah.		examine	npc	Snakeling
His motives are see-through.		examine	npc	Fritz the Glassblower
pUre A cHaOs of crEatuRe!		examine	npc	Chaos Elemental
D'aw look at the liddle...		examine	npc	Chaos Elemental Jr.
I'm sure the briefcase's contents is strictly for personal use.		examine	npc	Dodgy Squire
A jungle version of the chicken, but more vicious.		examine	npc	Oomlie bird
A giant raptor.		examine	npc	Terrorbird
These gnomes know how to get around!		examine	npc	Mounted terrorbird gnome
A farmer's enemy.		examine	npc	Crow
A very large elemental adversary.		examine	npc	Fire giant
He's got icicles in his beard.		examine	npc	Ice giant
His beard seems to have a life of its own.		examine	npc	Moss giant
An aggressive humanoid.		examine	npc	Jogre
A large dim looking humanoid.		examine	npc	Ogre
A one-eyed man eater.		examine	npc	Cyclops
A very large foe.		examine	npc	Hill Giant
Ugly, fierce and with a bad attitude.		examine	npc	Ork
A venerable and rich sage.		examine	npc	Wise Old Man
A venerable sage.		examine	npc	Wise Old Man
It's a fairly ordinary bed, but...		examine	npc	Bed
It's just like that dream I use to have when I was little.		examine	npc	Thing under the bed
A busy-body who loves a bit of gossip.		examine	npc	Miss Schism
He guards the Draynor Market stalls from thieves.		examine	npc	Market Guard
He's guarding the bank.		examine	npc	Bank guard
It's a badger.		examine	npc	Badger
A slithering serpent spawn of Zulrah.		examine	npc	Snakeling
